date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
05:08:57	3060/3060	---M-Z	200	added ('OK')	application/javascript	etag:W/%226527d054-bf4%22	https://themewagon.github.io/VillaAgency/assets/js/custom.js	C:/Users/User/Desktop/Template/hotel/themewagon.github.io/VillaAgency/assets/js/custom.js	(from https://themewagon.github.io/VillaAgency/index.html)
05:09:02	60208/60208	---M-Z	200	added ('OK')	font/ttf	etag:W/%226527d054-eb30%22	https://themewagon.github.io/VillaAgency/assets/webfonts/fa-regular-400.ttf	C:/Users/User/Desktop/Template/hotel/themewagon.github.io/VillaAgency/assets/webfonts/fa-regular-400.ttf	(from https://themewagon.github.io/VillaAgency/assets/css/fontawesome.css)
05:09:03	105204/105204	---M--	200	added ('OK')	font/woff2	etag:%226527d054-19af4%22	https://themewagon.github.io/VillaAgency/assets/webfonts/fa-brands-400.woff2	C:/Users/User/Desktop/Template/hotel/themewagon.github.io/VillaAgency/assets/webfonts/fa-brands-400.woff2	(from https://themewagon.github.io/VillaAgency/assets/css/fontawesome.css)
05:09:06	125064/125064	---M--	200	added ('OK')	font/woff2	etag:%226527d054-1e888%22	https://themewagon.github.io/VillaAgency/assets/webfonts/fa-solid-900.woff2	C:/Users/User/Desktop/Template/hotel/themewagon.github.io/VillaAgency/assets/webfonts/fa-solid-900.woff2	(from https://themewagon.github.io/VillaAgency/assets/css/fontawesome.css)
05:09:08	5016/5016	---M--	200	added ('OK')	font/woff2	etag:%226527d054-1398%22	https://themewagon.github.io/VillaAgency/assets/webfonts/fa-v4compatibility.woff2	C:/Users/User/Desktop/Template/hotel/themewagon.github.io/VillaAgency/assets/webfonts/fa-v4compatibility.woff2	(from https://themewagon.github.io/VillaAgency/assets/css/fontawesome.css)
05:09:08	23760/23760	---M--	200	added ('OK')	font/woff2	etag:%226527d054-5cd0%22	https://themewagon.github.io/VillaAgency/assets/webfonts/fa-regular-400.woff2	C:/Users/User/Desktop/Template/hotel/themewagon.github.io/VillaAgency/assets/webfonts/fa-regular-400.woff2	(from https://themewagon.github.io/VillaAgency/assets/css/fontawesome.css)
05:09:09	10552/10552	---M-Z	200	added ('OK')	font/ttf	etag:W/%226527d054-2938%22	https://themewagon.github.io/VillaAgency/assets/webfonts/fa-v4compatibility.ttf	C:/Users/User/Desktop/Template/hotel/themewagon.github.io/VillaAgency/assets/webfonts/fa-v4compatibility.ttf	(from https://themewagon.github.io/VillaAgency/assets/css/fontawesome.css)
05:09:10	298276/298276	---M-Z	200	added ('OK')	font/ttf	etag:W/%226527d054-48d24%22	https://themewagon.github.io/VillaAgency/assets/webfonts/fa-solid-900.ttf	C:/Users/User/Desktop/Template/hotel/themewagon.github.io/VillaAgency/assets/webfonts/fa-solid-900.ttf	(from https://themewagon.github.io/VillaAgency/assets/css/fontawesome.css)
05:09:24	165758/165758	---M--	200	added ('OK')	image/jpeg	etag:%226527d054-2877e%22	https://themewagon.github.io/VillaAgency/assets/images/banner-03.jpg	C:/Users/User/Desktop/Template/hotel/themewagon.github.io/VillaAgency/assets/images/banner-03.jpg	(from https://themewagon.github.io/VillaAgency/assets/css/templatemo-villa-agency.css)
05:09:24	195849/195849	---M--	200	added ('OK')	image/jpeg	etag:%226527d054-2fd09%22	https://themewagon.github.io/VillaAgency/assets/images/banner-02.jpg	C:/Users/User/Desktop/Template/hotel/themewagon.github.io/VillaAgency/assets/images/banner-02.jpg	(from https://themewagon.github.io/VillaAgency/assets/css/templatemo-villa-agency.css)
05:09:32	52917/52917	---M--	200	added ('OK')	image/jpeg	etag:%226527d054-ceb5%22	https://themewagon.github.io/VillaAgency/assets/images/video-bg.jpg	C:/Users/User/Desktop/Template/hotel/themewagon.github.io/VillaAgency/assets/images/video-bg.jpg	(from https://themewagon.github.io/VillaAgency/assets/css/templatemo-villa-agency.css)
05:09:35	43950/43950	---M--	200	added ('OK')	image/jpeg	etag:%226527d054-abae%22	https://themewagon.github.io/VillaAgency/assets/images/page-heading-bg.jpg	C:/Users/User/Desktop/Template/hotel/themewagon.github.io/VillaAgency/assets/images/page-heading-bg.jpg	(from https://themewagon.github.io/VillaAgency/assets/css/templatemo-villa-agency.css)
05:09:35	65834/65834	---M--	200	added ('OK')	image/jpeg	etag:%226527d054-1012a%22	https://themewagon.github.io/VillaAgency/assets/images/contact-bg.jpg	C:/Users/User/Desktop/Template/hotel/themewagon.github.io/VillaAgency/assets/images/contact-bg.jpg	(from https://themewagon.github.io/VillaAgency/assets/css/templatemo-villa-agency.css)
05:09:36	9379/9379	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%226552848a-24a3%22	https://themewagon.github.io/VillaAgency/assets/css/owl.video.play.png	C:/Users/User/Desktop/Template/hotel/themewagon.github.io/VillaAgency/assets/css/owl.video.play.png	(from https://themewagon.github.io/VillaAgency/assets/css/owl.css)
05:09:43	181260/181260	---M-Z	200	added ('OK')	font/ttf	etag:W/%226527d054-2c40c%22	https://themewagon.github.io/VillaAgency/assets/webfonts/fa-brands-400.ttf	C:/Users/User/Desktop/Template/hotel/themewagon.github.io/VillaAgency/assets/webfonts/fa-brands-400.ttf	(from https://themewagon.github.io/VillaAgency/assets/css/fontawesome.css)
05:09:49	131533/131533	---M--	200	added ('OK')	image/jpeg	etag:%226527d054-201cd%22	https://themewagon.github.io/VillaAgency/assets/images/single-property.jpg	C:/Users/User/Desktop/Template/hotel/themewagon.github.io/VillaAgency/assets/images/single-property.jpg	(from https://themewagon.github.io/VillaAgency/property-details.html)
05:09:53	366310/366310	---M--	200	added ('OK')	image/jpeg	etag:%226527d054-596e6%22	https://themewagon.github.io/VillaAgency/assets/images/banner-01.jpg	C:/Users/User/Desktop/Template/hotel/themewagon.github.io/VillaAgency/assets/images/banner-01.jpg	(from https://themewagon.github.io/VillaAgency/assets/css/templatemo-villa-agency.css)
